family,dv,outcome_label,n_complete,estimand,f_condition,df_num,df_den,p_condition,partial_eta2,sse_reduced,sse_full,rank_reduced,rank_full,q_condition_bh
tracer_peak,tracer_peak_CMP,Changed Meaning of Percepts,39,partial F for condition adjusted for numeric block position with participant blocking,1.828641455450018,2,75,0.16772087321269305,0.046496430788778534,2.323040068127384,2.2150269963801397,40,42,0.23061620066745295
tracer_auc,tracer_auc_EU,Experience of Unity,39,partial F for condition adjusted for numeric block position with participant blocking,8.629731836132018,2,75,0.00042353340192723723,0.18707526561801105,1.547401921260961,1.2579212958232462,40,42,0.0015529558070665366
tracer_auc,tracer_auc_SE,Spiritual Experience,39,partial F for condition adjusted for numeric block position with participant blocking,0.6868835987234454,2,75,0.5062783868171618,0.017987422224378827,0.43825885477937165,0.43037570771488237,40,42,0.6187846949987532
tracer_auc,tracer_auc_BS,Blissful State,39,partial F for condition adjusted for numeric block position with participant blocking,0.10687145652374218,2,75,0.8987777821230692,0.002841806626942986,1.9127230226629615,1.9072874337016514,40,42,0.8987777821230692
tracer_auc,tracer_auc_IS,Insightfulness,39,partial F for condition adjusted for numeric block position with participant blocking,2.8538790456220453,2,75,0.06389608398626007,0.07072130642993688,1.3223102674991152,1.2287947578758585,40,42,0.11808528788881541
tracer_auc,tracer_auc_DIS,Disembodiment,39,partial F for condition adjusted for numeric block position with participant blocking,3.5636413345413733,2,75,0.03322904544487247,0.08678337377605518,2.0445905502393207,1.8671540842989114,40,42,0.09137987497339929
tracer_auc,tracer_auc_ICC,Impaired Control and Cognition,39,partial F for condition adjusted for numeric block position with participant blocking,2.8452568675270165,2,75,0.06441015703026295,0.07052271043581083,2.1340647147226153,1.983564686794951,40,42,0.11808528788881541
tracer_auc,tracer_auc_ANX,Anxiety,39,partial F for condition adjusted for numeric block position with participant blocking,1.7265107406181799,2,75,0.18489901154668453,0.04401387500495721,0.8953863679256282,0.855976944246607,40,42,0.2542361408766912
tracer_auc,tracer_auc_CI,Complex Imagery,39,partial F for condition adjusted for numeric block position with participant blocking,0.20103483085016768,2,75,0.8183232229752428,0.0053323425139955045,2.046516289170718,2.0356035633563887,40,42,0.8987777821230692
tracer_auc,tracer_auc_EI,Elementary Imagery,39,partial F for condition adjusted for numeric block position with participant blocking,31.011712670586746,2,75,1.5310579563499906e-10,0.452648335032801,7.903181433592616,4.325819516214773,40,42,1.6841637519849897e-09
tracer_auc,tracer_auc_AVS,Audio-Visual Synesthesia,39,partial F for condition adjusted for numeric block position with participant blocking,9.939956912336994,2,75,0.00014817052453997175,0.20952710666885238,2.855251172556718,2.2569986555580606,40,42,0.0008149378849698446
tracer_auc,tracer_auc_CMP,Changed Meaning of Percepts,39,partial F for condition adjusted for numeric block position with participant blocking,1.8039803087512363,2,75,0.1717127453616251,0.04589815826743559,1.7555946612366669,1.6750160996217613,40,42,0.2542361408766912
