family,dv,outcome_label,n_complete,f_condition,df_num,df_den,p_condition,q_condition_bh,partial_eta2,chi2_condition_mixed,p_condition_mixed,q_condition_mixed,f_condition_rm_anova,p_condition_rm_anova,candidate_nominal_significant,current_mixed_nominal_significant,nominal_decision_unchanged,candidate_fdr_significant,current_mixed_fdr_significant,fdr_decision_unchanged,interpretation_unchanged_at_both_thresholds
ASC,asc_avg_AVS,Audio-Visual Synesthesia,39,21.770779339547875,2,75,3.5046820562260614e-08,3.855150261848668e-07,0.3673104956968488,35.70648835326028,1.7637400227366972e-08,1.940114025010367e-07,20.920527324223688,5.776235892054553e-08,True,True,True,True,True,True,True
ASC,asc_avg_CMP,Changed Meaning of Percepts,39,6.229469896601936,2,75,0.003141518076900642,0.008639174711476766,0.14245473158790808,11.987142194457192,0.0024947391677473,0.0068605327113051,6.364833662511814,0.0027816346295951,True,True,True,True,True,True,True
ASC3,asc3_avg_POSE,Positive Effects,39,7.558112473828936,2,75,0.0010225516078242907,0.001533827411736436,0.16774143564533264,14.32174473123746,0.0007763769731332,0.0011645654596998,7.721239689626198,0.0008857124940403,True,True,True,True,True,True,True
ASC3,asc3_avg_DISE,Distressing Effects,39,4.644594029130127,2,75,0.0125415795710965,0.0125415795710965,0.11020616371152628,9.107708045572965,0.0105265565165847,0.0105265565165847,4.71345625311363,0.0117575683284228,True,True,True,True,True,True,True
ASC3,asc3_avg_PERE,Perceptual Effects,39,19.626636600615747,2,75,1.3954779213251477e-07,4.1864337639754434e-07,0.34356366431704466,32.832505386480534,7.42184776204429e-08,2.2265543286132878e-07,19.366314851160105,1.595190257708784e-07,True,True,True,True,True,True,True
self,self_perceived_body_boundaries_scale,Perceived body boundaries,39,0.2960675811910171,2,75,0.7446023587290963,0.7446023587290963,0.007833290607680926,0.6134022955180853,0.7358704845926256,0.7358704845926256,0.2835820895522469,0.7538746416722091,False,False,True,False,False,True,True
self,self_spatial_frame_of_reference_continuum,Spatial frame of reference,39,10.98811034498856,2,75,6.529054815981343e-05,0.0001958716444794403,0.22661453017676167,20.04425958020761,4.440627409319902e-05,0.0001332188222795,10.75319148936171,7.720772224335686e-05,True,True,True,True,True,True,True
self,self_small_self_scale,Small Self,39,1.3226239971566869,2,75,0.2725770735520649,0.4088656103280973,0.034068382324016884,2.703654438988565,0.258767004291228,0.388150506436842,1.3451327433628195,0.2666355828081883,False,False,True,False,False,True,True
tracer_peak,tracer_peak_EU,Experience of Unity,39,6.357578042400318,2,75,0.0028151293698063418,0.010322141022623252,0.14495962445199287,12.215313865002829,0.0022257598133735,0.0081611193157031,6.424156024190565,0.0026439157504425,True,True,True,True,True,True,True
tracer_peak,tracer_peak_SE,Spiritual Experience,39,0.5050947389179481,2,75,0.6054862837583013,0.740038791260146,0.013290184970930262,1.0435846069013337,0.5934559410748719,0.72533503909151,0.483933917249114,0.6182401173079239,False,False,True,False,False,True,True
tracer_peak,tracer_peak_BS,Blissful State,39,0.30149568612731376,2,75,0.7406033048692124,0.8146636353561337,0.007975760764354068,0.6246035080306456,0.7317606831851426,0.804936751503657,0.3329972098542066,0.7178126790318938,False,False,True,False,False,True,True
tracer_peak,tracer_peak_IS,Insightfulness,39,2.7782153484596814,2,75,0.06855502712464774,0.15082105967422504,0.06897563172609449,5.574646561862323,0.0615858414820977,0.1354888512606149,2.641133256944865,0.0778172554672537,False,False,True,False,False,True,True
