family,scale,target,n,rho,ci95_low,ci95_high,permutation_p,q_bh_family
11D-ASC subscales,Small self,Blissful State,39,0.5153574002464554,0.2509606047742817,0.7312631972631839,0.0012998700129987,0.01154884511548845
11D-ASC subscales,Small self,Insightfulness,39,0.3641217497209789,0.04333167566455214,0.643840600962198,0.022997700229977002,0.08129187081291872
11D-ASC subscales,Small self,Disembodiment,39,0.2194454698553399,-0.14729170295146818,0.5564115137299018,0.1683831616838316,0.2924549650298128
11D-ASC subscales,Small self,Impaired Control and Cognition,39,0.15139388781713428,-0.2147777824418034,0.49510434678169696,0.3555644435556444,0.4693450654934507
11D-ASC subscales,Small self,Anxiety,39,-0.09484771359385327,-0.3924573197416047,0.2219342600273778,0.5656434356564344,0.643663219884908
11D-ASC subscales,Small self,Complex Imagery,39,0.011241439175988162,-0.29652280267579234,0.35507377186831685,0.9422057794220577,0.9692030796920308
11D-ASC subscales,Small self,Elementary Imagery,39,0.006431758362822243,-0.32820961484517897,0.33431413650008823,0.9692030796920308,0.9692030796920308
11D-ASC subscales,Small self,Audio-Visual Synesthesia,39,0.4654582629433553,0.1554113044729991,0.7051690354805351,0.0038996100389961006,0.02144785521447855
11D-ASC subscales,Small self,Changed Meaning of Percepts,39,0.20182448834421743,-0.16033127739731068,0.5130218480287058,0.22097790220977903,0.3314668533146686
11D-ASC items,Boundary dissolution,Q01 (ICC),39,0.27946858047849255,-0.01841142391382608,0.5302253180960748,0.08589141085891411,0.26395896995666285
11D-ASC items,Boundary dissolution,Q02 (SE),39,0.11050705864601013,-0.2077779794971063,0.4143891295360767,0.49405059494050596,0.6678672558276088
11D-ASC items,Boundary dissolution,Q03 (BS),39,0.013059706659816723,-0.34151482943956873,0.34273163804352,0.9345065493450655,0.9926373216336902
11D-ASC items,Boundary dissolution,Q04 (EI),39,0.010266906755145182,-0.3255986855382602,0.3430221086984363,0.9518048195180482,0.9926373216336902
11D-ASC items,Boundary dissolution,Q05 (EU),39,0.21459588025060708,-0.14261471264195152,0.5210011116487626,0.19318068193180682,0.3925929987646397
11D-ASC items,Boundary dissolution,Q06 (AVS),39,0.25165346750309925,-0.07453189018008893,0.5465733736104204,0.12218778122187782,0.3195040495950405
11D-ASC items,Boundary dissolution,Q07 (EI),39,0.04387934192470144,-0.2936674372158145,0.3475095522864317,0.7941205879412059,0.9194850426461778
11D-ASC items,Boundary dissolution,Q08 (AVS),39,0.2155542155869837,-0.13205210293296457,0.5287045012095815,0.1912808719128087,0.3925929987646397
11D-ASC items,Boundary dissolution,Q09 (DIS),39,-0.10016827122259933,-0.41007656234175854,0.23360828323102548,0.5456454354564544,0.7087765450259098
11D-ASC items,Boundary dissolution,Q10 (ICC),39,0.3575622022462751,0.035163497735006245,0.6592045899771117,0.027997200279972004,0.11379507210569266
11D-ASC items,Boundary dissolution,Q11 (CMP),39,0.20885778807153346,-0.1300946603258716,0.5034018245181994,0.20727927207279273,0.4080810668933107
11D-ASC items,Boundary dissolution,Q12 (CMP),39,0.17520944694137894,-0.14993790176254918,0.4819407261667031,0.2830716928307169,0.49537546245375463
11D-ASC items,Boundary dissolution,Q13 (ANX),39,-0.09184189540925805,-0.42721736929716575,0.2940853053195441,0.573942605739426,0.7244275572442757
11D-ASC items,Boundary dissolution,Q14 (EI),39,-0.17463041550175473,-0.4808481800995369,0.17207403764519721,0.2876712328767123,0.4965284293488459
11D-ASC items,Boundary dissolution,Q15 (EU),39,0.25485744638977526,-0.11156704037081985,0.553191559449012,0.11078892110788921,0.3034653056433487
11D-ASC items,Boundary dissolution,Q16 (ICC),39,0.14137512733753355,-0.19116797438789396,0.4517826850794535,0.3915608439156084,0.5773698492219743
11D-ASC items,Boundary dissolution,Q17 (CI),39,0.159444145672828,-0.17147123398383732,0.4533234287960895,0.32216778322167783,0.5200568550739862
11D-ASC items,Boundary dissolution,Q18 (EU),39,0.0034145364796225285,-0.3734882590580022,0.3669527714498783,0.9838016198380162,0.9972002799720028
11D-ASC items,Boundary dissolution,Q19 (EU),39,-0.010741763459117804,-0.33986143489253495,0.3236762706576748,0.946005399460054,0.9926373216336902
11D-ASC items,Boundary dissolution,Q20 (ANX),39,-0.13122973753985584,-0.44797397003619377,0.20983712729975607,0.42805719428057193,0.6129000736290008
11D-ASC items,Boundary dissolution,Q21 (ANX),39,-0.362283612577819,-0.6256835115794811,-0.05633509711140969,0.023297670232976703,0.10122436032258844
11D-ASC items,Boundary dissolution,Q22 (ANX),39,-0.2620772132029606,-0.5442580181114015,0.09702431005531148,0.10988901109889011,0.3034653056433487
11D-ASC items,Boundary dissolution,Q23 (ICC),39,0.040471576303780704,-0.2969538358559515,0.3591902571264543,0.8075192480751925,0.9194850426461778
11D-ASC items,Boundary dissolution,Q24 (IS),39,0.37147217697685136,0.04532888643122799,0.6259592715578141,0.0212978702129787,0.09584041595840416
11D-ASC items,Boundary dissolution,Q25 (EU),39,0.15408813128940568,-0.17763311559188155,0.4609840969940395,0.35076492350764926,0.5524547545245476
11D-ASC items,Boundary dissolution,Q26 (CMP),39,0.03743298973575209,-0.26840815086679165,0.3359998316186811,0.8223177682231777,0.9194850426461778
11D-ASC items,Boundary dissolution,Q27 (ANX),39,-0.33020706881776596,-0.5736278074046735,-0.026554642985784777,0.03849615038496151,0.14266220436779853
11D-ASC items,Boundary dissolution,Q28 (DIS),39,0.31877046145894966,-0.02645000160875387,0.6166348825450051,0.0458954104589541,0.16063393660633937
11D-ASC items,Boundary dissolution,Q29 (DIS),39,0.0003563618209186001,-0.3499483420952104,0.3553793348452963,0.9972002799720028,0.9972002799720028
11D-ASC items,Boundary dissolution,Q30 (ICC),39,0.24771470170195778,-0.07492916069882236,0.548943335053503,0.12568743125687432,0.3195040495950405
11D-ASC items,Boundary dissolution,Q31 (ICC),39,0.09092359485941784,-0.23673500269239175,0.42098710040920356,0.5864413558644136,0.7244275572442757
11D-ASC items,Boundary dissolution,Q32 (IS),39,0.14515046912380006,-0.17502433450472996,0.43390437763625916,0.37266273372662734,0.5766923307669234
11D-ASC items,Boundary dissolution,Q33 (CI),39,0.0058932648025647,-0.3204014122443734,0.34519601574089215,0.969003099690031,0.9926373216336902
11D-ASC items,Boundary dissolution,Q34 (AVS),39,0.16890934733254986,-0.18149801314917485,0.47504227158731416,0.31156884311568844,0.5122942251229422
11D-ASC items,Boundary dissolution,Q35 (IS),39,0.03698602202942578,-0.2908449261999015,0.3471698933748569,0.8229177082291771,0.9194850426461778
11D-ASC items,Boundary dissolution,Q36 (ICC),39,-0.04947070281536625,-0.3881390910701546,0.3049331903487501,0.7642235776422358,0.8999268297469319
11D-ASC items,Boundary dissolution,Q37 (SE),39,0.12677751196447526,-0.2075428472255056,0.427007896186442,0.43515648435156484,0.6160642362730019
11D-ASC items,Boundary dissolution,Q38 (CI),39,0.27220580487628493,-0.05493080094560958,0.5777066066557593,0.096990300969903,0.29097090290970906
11D-ASC items,Boundary dissolution,Q39 (BS),39,0.38860946405415997,0.07225218318474988,0.6325857444235424,0.014598540145985401,0.07979202079792021
11D-ASC items,Boundary dissolution,Q40 (ANX),39,-0.37047884598519687,-0.6120897982343942,-0.0786246425607225,0.0212978702129787,0.09584041595840416
11D-ASC items,Boundary dissolution,Q41 (BS),39,0.25770566629499814,-0.07157570836256467,0.5608157580866628,0.11708829117088292,0.3138962699474733
11D-ASC items,Boundary dissolution,Q42 (SE),39,0.12658987284741996,-0.19423611373576155,0.43550985754187427,0.4450554944505549,0.6230776922307769
11D-ASC items,Spatial frame of reference,Q01 (ICC),39,-0.14319917062550147,-0.43333047235370187,0.2153390408985972,0.38446155384461556,0.5766923307669234
11D-ASC items,Spatial frame of reference,Q02 (SE),39,0.22675928625432126,-0.07682429622234983,0.5159867552530687,0.1688831116888311,0.37305083051016935
11D-ASC items,Spatial frame of reference,Q03 (BS),39,0.5127968719996341,0.18678245139644786,0.7581846987833173,0.0008999100089991,0.016198380161983803
11D-ASC items,Spatial frame of reference,Q04 (EI),39,0.18845021803811715,-0.12605984925114117,0.45878378697144323,0.250974902509749,0.46504173112100555
11D-ASC items,Spatial frame of reference,Q05 (EU),39,0.39975989891426345,0.08443745686288874,0.6475395297006539,0.012798720127987202,0.07679232076792322
11D-ASC items,Spatial frame of reference,Q06 (AVS),39,0.3158319513334816,0.016197531667805385,0.5853962200882786,0.051794820517948204,0.17174072066477564
11D-ASC items,Spatial frame of reference,Q07 (EI),39,0.2333158233742977,-0.02751291324553556,0.4911852513035609,0.15348465153484653,0.3516193835161939
11D-ASC items,Spatial frame of reference,Q08 (AVS),39,0.26933190203269036,-0.06305189236434407,0.566175114867899,0.10018998100189981,0.29357994433114826
11D-ASC items,Spatial frame of reference,Q09 (DIS),39,-0.08917434059593626,-0.4454474207370784,0.2587635238102013,0.585041495850415,0.7244275572442757
11D-ASC items,Spatial frame of reference,Q10 (ICC),39,0.1406542058353686,-0.22492135492057228,0.4612564703804005,0.38096190380961903,0.5766923307669234
11D-ASC items,Spatial frame of reference,Q11 (CMP),39,0.10051679909004707,-0.21763954183954523,0.3994940247049573,0.539046095390461,0.7074980001999801
11D-ASC items,Spatial frame of reference,Q12 (CMP),39,0.4875671161929651,0.18426071464470634,0.711169183575311,0.0021997800219978004,0.027717228277172285
11D-ASC items,Spatial frame of reference,Q13 (ANX),39,-0.20239341207512204,-0.5192039452838457,0.15815436185722143,0.2186781321867813,0.4238991485466837
11D-ASC items,Spatial frame of reference,Q14 (EI),39,0.07696444552952793,-0.21749264585962141,0.3691701890748168,0.6418358164183582,0.7776087775837801
11D-ASC items,Spatial frame of reference,Q15 (EU),39,0.6386200373753989,0.41033266704479143,0.7826397995262091,0.00019998000199980003,0.008399160083991601
11D-ASC items,Spatial frame of reference,Q16 (ICC),39,0.4466422185954296,0.12913663679934181,0.6829149817959574,0.0036996300369963003,0.03884611538846115
11D-ASC items,Spatial frame of reference,Q17 (CI),39,-0.05071966152488318,-0.3739651972356978,0.2613654462142572,0.7575242475752425,0.8999268297469319
11D-ASC items,Spatial frame of reference,Q18 (EU),39,0.5802020089424806,0.29189175149877455,0.7941206072085429,0.00019998000199980003,0.008399160083991601
11D-ASC items,Spatial frame of reference,Q19 (EU),39,0.5695074572582308,0.2730157219090657,0.7669192691724327,0.00039996000399960006,0.012598740125987403
11D-ASC items,Spatial frame of reference,Q20 (ANX),39,-0.23219736532270896,-0.542554463644413,0.09552552311468746,0.15978402159784022,0.3595140485951405
11D-ASC items,Spatial frame of reference,Q21 (ANX),39,-0.17145337127844532,-0.4642719051365863,0.14623060044651703,0.29227077292270776,0.49765023497650235
11D-ASC items,Spatial frame of reference,Q22 (ANX),39,-0.3499895591781683,-0.6132182414986675,-0.03615032118545237,0.032396760323967606,0.12756224377562245
11D-ASC items,Spatial frame of reference,Q23 (ICC),39,-0.05524302367831898,-0.39409051489248237,0.279260102939861,0.7454254574542546,0.8945105489451055
11D-ASC items,Spatial frame of reference,Q24 (IS),39,0.4736102651466201,0.17624553139602955,0.7022139590225009,0.0021997800219978004,0.027717228277172285
11D-ASC items,Spatial frame of reference,Q25 (EU),39,0.4164697009034306,0.11029339050396754,0.6545450313553455,0.007399260073992601,0.054841574666062806
11D-ASC items,Spatial frame of reference,Q26 (CMP),39,0.2045802140897923,-0.13673724178662938,0.5120119247189535,0.20557944205579443,0.4080810668933107
11D-ASC items,Spatial frame of reference,Q27 (ANX),39,-0.24744861061419082,-0.5512670775465914,0.11094461029327521,0.1267873212678732,0.3195040495950405
11D-ASC items,Spatial frame of reference,Q28 (DIS),39,0.44821777547067004,0.11615944219678137,0.7133067990529899,0.005599440055994401,0.04409559044095591
11D-ASC items,Spatial frame of reference,Q29 (DIS),39,0.5542404011335178,0.3011212730656862,0.7310572444767752,0.0005999400059994001,0.015118488151184882
11D-ASC items,Spatial frame of reference,Q30 (ICC),39,0.1678107327243059,-0.17269331752784314,0.4661038090286104,0.31196880311968805,0.5122942251229422
11D-ASC items,Spatial frame of reference,Q31 (ICC),39,0.16457768191035138,-0.15316739827237094,0.46358383937552317,0.3130686931306869,0.5122942251229422
11D-ASC items,Spatial frame of reference,Q32 (IS),39,0.23919982598312717,-0.073951486188038,0.538532175731062,0.1471852814718528,0.34343232343432323
11D-ASC items,Spatial frame of reference,Q33 (CI),39,-0.09691736906321147,-0.4250883220121956,0.24041913262269787,0.5562443755624438,0.7151713400088563
11D-ASC items,Spatial frame of reference,Q34 (AVS),39,0.26483579585454076,-0.062160754978077826,0.5397122049625586,0.10428957104289571,0.2986474079864741
11D-ASC items,Spatial frame of reference,Q35 (IS),39,0.28761019513710057,-0.04512829104668859,0.5358561206767001,0.07929207079292071,0.24977002299770024
11D-ASC items,Spatial frame of reference,Q36 (ICC),39,0.47983982777316125,0.15749994682741425,0.7201023456468837,0.0028997100289971,0.033214860332148606
11D-ASC items,Spatial frame of reference,Q37 (SE),39,0.18625912713428516,-0.15616636907178738,0.5115077705789526,0.24807519248075194,0.46504173112100555
11D-ASC items,Spatial frame of reference,Q38 (CI),39,0.12122164073023813,-0.22017658772549709,0.4725030000644152,0.4674532546745325,0.6472429680108912
11D-ASC items,Spatial frame of reference,Q39 (BS),39,0.6872872715126973,0.44805827327018793,0.8478678059440795,9.999000099990002e-05,0.008399160083991601
11D-ASC items,Spatial frame of reference,Q40 (ANX),39,-0.37040962752404094,-0.6857996634077821,-0.024170266365936954,0.0193980601939806,0.09400598401698292
11D-ASC items,Spatial frame of reference,Q41 (BS),39,0.4350974496433885,0.15081947844221663,0.6591073891734253,0.0051994800519948,0.043675632436756325
11D-ASC items,Spatial frame of reference,Q42 (SE),39,0.3780418018643365,0.01968816799100512,0.6666805012326277,0.0183981601839816,0.09272672732726728
11D-ASC items,Small self,Q01 (ICC),39,0.2230236165477069,-0.11020730874151743,0.5338223317773045,0.17468253174682533,0.37305083051016935
11D-ASC items,Small self,Q02 (SE),39,0.4564120469372605,0.1599114760351925,0.6919296934876266,0.005099490050994901,0.043675632436756325
11D-ASC items,Small self,Q03 (BS),39,0.4511647431337326,0.1251491051983018,0.7162838028764212,0.005099490050994901,0.043675632436756325
11D-ASC items,Small self,Q04 (EI),39,0.16103889986778983,-0.17288644963331376,0.47955419467327787,0.3260673932606739,0.5200568550739862
11D-ASC items,Small self,Q05 (EU),39,0.4137973984885762,0.0872856878709102,0.6594875657597751,0.011998800119988001,0.0755924407559244
11D-ASC items,Small self,Q06 (AVS),39,0.4076922411826043,0.10870168539383718,0.6653559941845749,0.0110988901109889,0.07360316599918955
11D-ASC items,Small self,Q07 (EI),39,-0.07705029607370911,-0.39620375712771244,0.24764080995862708,0.6374362563743625,0.7776087775837801
11D-ASC items,Small self,Q08 (AVS),39,0.39463210433676205,0.08281210776830315,0.646796789569419,0.013498650134986502,0.07731045077310451
11D-ASC items,Small self,Q09 (DIS),39,-0.1116138153507236,-0.4531936579179556,0.24457945373219428,0.49825017498250174,0.6678672558276088
11D-ASC items,Small self,Q10 (ICC),39,0.09245279567299279,-0.263869388298886,0.4245741975613849,0.5755424457554245,0.7244275572442757
11D-ASC items,Small self,Q11 (CMP),39,-0.0015832984656371,-0.35904597193177895,0.3203601950862167,0.9904009599040096,0.9972002799720028
11D-ASC items,Small self,Q12 (CMP),39,0.1828036242451691,-0.16843578028709885,0.48315884411775806,0.2615738426157384,0.4689925373659817
11D-ASC items,Small self,Q13 (ANX),39,-0.008906965979987084,-0.3253830645308407,0.3459748505665344,0.9556044395560443,0.9926373216336902
11D-ASC items,Small self,Q14 (EI),39,-0.14143686615570047,-0.4381164224600757,0.19231546390008922,0.39806019398060194,0.5773698492219743
11D-ASC items,Small self,Q15 (EU),39,0.24177067730652693,-0.10628845392895324,0.5558668832601327,0.14428557144285573,0.34343232343432323
11D-ASC items,Small self,Q16 (ICC),39,0.24244319598160838,-0.10170796024392029,0.559286299964166,0.13758624137586242,0.3399189492815424
11D-ASC items,Small self,Q17 (CI),39,0.03157682336397158,-0.3036831848826815,0.3597840551101034,0.8544145585441456,0.9443529331277398
11D-ASC items,Small self,Q18 (EU),39,0.33042033944167354,0.01875741372237623,0.6198834360078768,0.042695730426957304,0.15370462953704628
11D-ASC items,Small self,Q19 (EU),39,0.13792879230564045,-0.21410584529628762,0.4814004427554403,0.39866013398660133,0.5773698492219743
11D-ASC items,Small self,Q20 (ANX),39,-0.24028014597395358,-0.5433184308742064,0.08002571634619601,0.14608539146085392,0.34343232343432323
11D-ASC items,Small self,Q21 (ANX),39,-0.007439020990194294,-0.3260433158379073,0.32632166921646244,0.9654034596540346,0.9926373216336902
11D-ASC items,Small self,Q22 (ANX),39,0.020374017155968153,-0.2797977782122729,0.32952611344378674,0.9014098590140985,0.9707490789382599
11D-ASC items,Small self,Q23 (ICC),39,-0.18436457359533423,-0.5261080950581465,0.20523602625976245,0.26147385261473854,0.4689925373659817
11D-ASC items,Small self,Q24 (IS),39,0.31807893165883866,-0.016111969322882044,0.6078525485870295,0.0491950804919508,0.16752919302664326
11D-ASC items,Small self,Q25 (EU),39,0.10341810000243952,-0.25524240368892864,0.4540318372309312,0.5244475552444755,0.6955830732716202
