target,scale,n,rank_partial_r,p_two_sided,controls,q_bh_3
Positive Effects,Boundary dissolution,39,0.04142056422594864,0.8023068654692748,other two pictographs,0.8023068654692748
Positive Effects,Spatial frame of reference,39,0.6429530244598677,1.0152710228723722e-05,other two pictographs,3.0458130686171166e-05
Positive Effects,Small self,39,0.37581864076923394,0.01838409628565166,other two pictographs,0.027576144428477493
