family,scale,target,n_participants,interaction_joint_chi2,interaction_joint_df,interaction_joint_p,interaction_pooled_vr_minus_control_est,interaction_pooled_vr_minus_control_se,interaction_pooled_vr_minus_control_z,interaction_pooled_vr_minus_control_p,interaction_symmetric_minus_asymmetric_est,interaction_symmetric_minus_asymmetric_se,interaction_symmetric_minus_asymmetric_z,interaction_symmetric_minus_asymmetric_p,interaction_joint_q_bh,interaction_pooled_vr_minus_control_q_bh,interaction_symmetric_minus_asymmetric_q_bh
11D-ASC subscales,Small self,Spiritual Experience,39,0.6394689497629468,2,0.7263418734831502,-2.7089810143771813,3.514205098197307,-0.7708659394315989,0.4407863977737637,0.5948906457954513,4.111574848704328,0.1446868092363484,0.8849581542661861,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Small self,Blissful State,39,3.901601682237418,2,0.14216017827117308,-10.898090993275822,5.5871338519332125,-1.950569161593463,0.05110831864281176,-0.00124594118186927,9.540924755163905,-0.00013058914244082264,0.9998958049397342,0.7818809804914519,0.421643628803197,0.9998958049397342
11D-ASC subscales,Small self,Insightfulness,39,0.030529572657636252,2,0.984851129960038,-0.6815088794585902,6.557470660914526,-0.10392862045432999,0.9172259942504095,-0.8044010497391225,5.665315953963997,-0.14198697059010215,0.8870902973754083,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Small self,Disembodiment,39,0.6055909235904503,2,0.7387501835547264,-3.6851058033293014,6.655223842341713,-0.5537162822208932,0.5797730303307811,-4.6600747657812045,7.590047328475992,-0.6139717664602365,0.539233984364236,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Small self,Impaired Control and Cognition,39,0.8493900146057842,2,0.6539692105500041,-1.0083796595868946,4.495394050131899,-0.22431396410228105,0.8225130112604386,-5.865129848852301,6.368177760311095,-0.9210059878362724,0.35704730083140424,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Small self,Anxiety,39,0.7664730762400589,2,0.68165164361689,0.6757983895208832,4.2846912285406855,0.15772394169720652,0.8746743338833396,2.7868095541493516,3.3586865808810686,0.8297319464140952,0.40669035505409856,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Small self,Complex Imagery,39,0.18146070264667535,2,0.9132639381127082,-2.794598182395511,6.901540916459355,-0.40492380125295296,0.6855335224212336,-0.2525221129128914,9.398364561285428,-0.02686872926307868,0.9785644349415801,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Small self,Elementary Imagery,39,0.3490587229005253,2,0.8398521945887514,2.317081806365253,7.849561861032101,0.2951861323455563,0.7678516950459591,-3.9503924961085604,6.987234850839153,-0.5653727948809573,0.57182022479825,0.984851129960038,0.9804354143878894,0.9998958049397342
11D-ASC subscales,Small self,Audio-Visual Synesthesia,39,7.90970409256946,2,0.019161503355539882,-22.079684084574417,8.657766368369197,-2.5502748798167687,0.010763801456832409,0.22081886762488168,8.123266063577637,0.027183507950696,0.9783133695948979,0.31616480536640806,0.1184018160251565,0.9998958049397342
11D-ASC subscales,Small self,Changed Meaning of Percepts,39,2.168563067972612,2,0.3381446440760727,-6.22528471671747,5.660825402804232,-1.0997132527058013,0.2714570786416711,-9.968280295410608,8.484730090171523,-1.1748494282637922,0.2400549610780186,0.984851129960038,0.8740983763940813,0.9998958049397342
